"Your mailbox storage is full. Click here to upgrade now.",phishing
"Your payroll account needs verification immediately.",phishing
"Confirm your identity to prevent service interruption.",phishing
"Your account was flagged for unusual activity. Log in now.",phishing
"Update your billing information to avoid account suspension.",phishing
"Here is the Zoom link for tonight's study session.",safe
"The assignment deadline was extended to Monday.",safe
"Please review the attached lab instructions before class.",safe
"Can we reschedule our meeting for tomorrow afternoon?",safe
"I uploaded the networking notes to the shared folder.",safe
